Title,Console,Genre,Publisher,Critic_Score,Total_Sales,NA_Sales,JP_Sales,PAL_Sales,Other_Sales,Release_Date
NBA 2K13,PS3,Sports,2K Sports,8.9,2.63,1.74,0.05,0.46,0.39,10/2/2012
FIFA Soccer 10,X360,Sports,EA Sports,8.9,2.62,0.6,0.01,1.79,0.23,10/20/2009
ESPN NFL 2K5,PS2,Sports,Sega,,2.62,2.15,,0.12,0.36,7/20/2004
Madden NFL 18,PS4,Sports,EA Sports,8.2,2.62,1.73,,0.42,0.47,8/25/2017
LittleBigPlanet,PSP,Platform,Sony Computer Entertainment,8.8,2.61,0.65,0.01,1.27,0.68,11/17/2009
Harry Potter and the Chamber of Secrets,PS2,Adventure,Electronic Arts,,2.61,0.9,0.04,1.22,0.44,11/14/2002
Grand Theft Auto: Episodes from Liberty City,X360,Adventure,Rockstar Games,9,2.6,1.08,0.03,1.22,0.27,10/29/2009
Streets of Rage,GEN,Action,Sega,,2.6,1.86,0.11,0.55,0.08,12/31/1990
FIFA Soccer 09,PS3,Sports,Electronic Arts,8.6,2.59,0.49,0.04,1.63,0.43,10/14/2008
NBA Live 2005,PS2,Sports,EA Sports,,2.59,2.03,,0.21,0.35,9/28/2004
Tom Clancy's The Division,XOne,Shooter,Ubisoft,,2.59,1.54,,0.82,0.24,3/8/2016
LEGO Star Wars: The Complete Saga,X360,Action,LucasArts,,2.59,1.53,,0.83,0.24,11/6/2007
WWE SmackDown vs. RAW 2007,PS2,Fighting,THQ,8,2.58,1.4,0.03,0.88,0.26,11/14/2006
Skylanders Giants,Wii,Misc,Activision,,2.58,1.49,,0.86,0.23,10/21/2012
Madden NFL 08,PS2,Sports,EA Sports,,2.57,2.14,,0.08,0.35,8/14/2007
NBA 2K14,X360,Sports,2K Sports,,2.57,2.11,0,0.19,0.27,10/11/2013
Dragon Age: Origins,X360,RPG,Electronic Arts,8.5,2.56,1.76,0.03,0.55,0.22,11/3/2009
Hot Shots Golf,PS,Sports,Sony Computer Entertainment,,2.56,0.26,2.13,0.17,,5/5/1998
FIFA 16,PS3,Sports,EA Sports,9,2.55,0.43,0.05,1.68,0.38,9/22/2015
Madden NFL 09,X360,Sports,EA Sports,8.5,2.54,2.21,,0.12,0.2,8/12/2008
Crazy Taxi,PS2,Racing,Acclaim Entertainment,8.2,2.52,1.13,0.06,1.12,0.22,5/14/2001
Tomb Raider (2013),PS3,Action,Square Enix,8.9,2.51,0.6,0.08,1.45,0.38,3/5/2013
Midnight Club: Los Angeles,PS3,Racing,Rockstar Games,8.3,2.5,1.59,0.05,0.54,0.33,10/20/2008
PES 2009: Pro Evolution Soccer,PS2,Sports,Konami,,2.5,0.13,0.26,0.07,2.05,11/11/2008
Marvel: Ultimate Alliance,X360,RPG,Activision,8.3,2.5,2.29,,0.02,0.19,10/24/2006
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Action,Rockstar Games,9.8,2.49,1.84,,0.56,0.09,10/31/2003
Mortal Kombat: Deadly Alliance,PS2,Fighting,Midway Games,8.2,2.49,1.81,,0.52,0.15,11/16/2002
Game Party,Wii,Misc,Midway Games,2.6,2.49,1.47,,0.77,0.24,11/27/2007
NBA 2K15,PS4,Sports,2K Sports,,2.49,1.49,0.01,0.55,0.44,10/7/2014
Saints Row: The Third,PS3,Action,THQ,8.3,2.48,0.86,0.18,1.06,0.37,11/15/2011
Tomb Raider: The Last Revelation,PS,Action,Eidos Interactive,,2.48,1.15,0.06,1.14,0.13,11/22/1999
Madden NFL 16,XOne,Sports,EA Sports,8.4,2.47,2.13,,0.08,0.26,8/25/2015
Rock Band,X360,Misc,MTV Games,9.1,2.47,1.93,,0.33,0.21,11/20/2007
Assassin's Creed Origins,XOne,Action,Ubisoft,,2.47,1.34,,0.92,0.22,10/27/2017
Minecraft,PSV,Misc,Sony Computer Entertainment America,,2.47,0.22,1.25,0.73,0.27,11/11/2014
Pure,X360,Racing,Disney Interactive Studios,8.3,2.47,1.38,0,0.84,0.25,9/16/2008
LEGO Harry Potter: Years 1-4,Wii,Adventure,Warner Bros. Interactive,7.9,2.45,1.29,,0.94,0.22,6/29/2010
Dying Light,PS4,Action,Warner Bros. Interactive,,2.45,1.18,0.13,0.74,0.4,1/27/2015
Madden NFL 17,XOne,Sports,EA Sports,8.1,2.44,2.14,,0.04,0.26,8/23/2016
