Title,Console,Genre,Publisher,Critic_Score,Total_Sales,NA_Sales,JP_Sales,PAL_Sales,Other_Sales,Release_Date
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,9.5,13.53,8.54,0.08,3.63,1.28,11/10/2009
Call of Duty: WWII,PS4,Shooter,Activision,8.1,13.4,4.67,0.4,6.21,2.12,11/3/2017
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,8.8,13.35,5.54,0.49,5.78,1.54,11/8/2011
Grand Theft Auto III,PS2,Action,Rockstar Games,9.5,13.1,6.99,0.3,4.51,1.3,10/23/2001
Call of Duty: Black Ops,PS3,Shooter,Activision,8.7,12.67,6.01,0.48,4.4,1.78,11/9/2010
FIFA 18,PS4,Sports,EA Sports,8.3,11.8,1.27,0.15,8.64,1.73,9/29/2017
Grand Theft Auto IV,X360,Action,Rockstar Games,10,11.09,6.8,0.14,3.11,1.04,4/29/2008
FIFA 17,PS4,Sports,Electronic Arts,8.9,10.94,1.26,0.12,7.95,1.61,9/27/2016
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,9.5,10.61,4.99,0.38,3.66,1.59,11/10/2009
Grand Theft Auto IV,PS3,Action,Rockstar Games,10,10.57,4.79,0.44,3.73,1.62,4/29/2008
Call of Duty: Ghosts,X360,Shooter,Activision,6.9,10.41,6.76,0.04,2.64,0.98,11/5/2013
Call of Duty: Ghosts,PS3,Shooter,Activision,7.5,10.13,4.11,0.39,4.01,1.62,11/5/2013
Halo: Reach,X360,Shooter,Microsoft Game Studios,9.3,9.97,7.08,0.08,2.01,0.8,9/14/2010
Halo 4,X360,Shooter,Microsoft Studios,,9.96,6.72,0.04,2.36,0.83,11/6/2012
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,9.6,9.41,5.98,0.13,2.39,0.91,11/5/2007
Call of Duty: Black Ops IIII,PS4,Shooter,Activision,,9.32,4.05,0.5,3.28,1.49,10/12/2018
FIFA 19,PS4,Sports,Electronic Arts,,9.15,0.84,0.1,6.87,1.34,9/28/2018
The Elder Scrolls V: Skyrim,X360,RPG,Bethesda Softworks,9.3,8.88,5.1,0.1,2.83,0.85,11/11/2011
Grand Theft Auto V,XOne,Action,Rockstar Games,9,8.72,4.7,0.01,3.25,0.76,11/18/2014
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,7.9,8.48,3.11,0.19,3.83,1.36,11/4/2016
Fallout 4,PS4,RPG,Bethesda Softworks,8.6,8.48,2.91,0.27,3.97,1.34,11/10/2015
FIFA 16,PS4,Sports,EA Sports,8.5,8.22,1.15,0.07,5.77,1.23,9/22/2015
Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,7.1,8.03,3.31,0.23,3.19,1.3,11/17/2015
FIFA 13,PS3,Sports,EA Sports,,8.01,1.07,0.13,5.13,1.68,9/25/2012
The Sims 3,PC,Simulation,Electronic Arts,8.5,7.96,1.01,,6.46,0.5,6/2/2009
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,8.8,7.72,2.9,0.24,2.83,1.74,10/25/2005
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,8.5,7.53,2.84,0.14,3.34,1.22,11/4/2014
Call of Duty: World at War,X360,Shooter,Activision,8.5,7.5,4.88,,1.91,0.71,11/10/2008
Call of Duty: Black Ops 3,XOne,Shooter,Activision,,7.37,4.63,0.02,2.04,0.68,11/6/2015
Battlefield 3,X360,Shooter,Electronic Arts,8.5,7.35,4.47,0.06,2.12,0.69,10/25/2011
Battlefield 1,PS4,Shooter,Electronic Arts,9.1,7.26,2.2,0.29,3.65,1.12,10/21/2016
Battlefield 3,PS3,Shooter,Electronic Arts,8.5,7.21,2.86,0.35,2.94,1.07,10/25/2011
Need for Speed Underground,PS2,Racing,Electronic Arts,8.6,7.2,3.27,0.08,2.83,1.02,11/17/2003
Need for Speed Underground 2,PS2,Racing,Electronic Arts,8.3,6.9,2.71,0.08,3.02,1.09,11/15/2004
Just Dance 4,Wii,Music,Ubisoft,,6.89,4.05,,2.21,0.62,10/9/2012
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,9,6.83,2.93,0.17,2.75,0.99,5/28/2002
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,9.5,6.74,3.28,0.21,2.22,1.02,10/13/2009
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,9.5,6.72,3.13,0.28,2.27,1.04,11/5/2007
FIFA Soccer 12,PS3,Sports,EA Sports,9.2,6.65,0.84,0.11,4.33,1.37,9/27/2011
FIFA 14,PS3,Sports,EA Sports,,6.61,0.79,0.07,4.77,0.98,9/24/2013
Red Dead Redemption,PS3,Action,Rockstar Games,9.5,6.57,2.82,0.17,2.58,1,10/11/2011
Red Dead Redemption,X360,Action,Rockstar Games,9.5,6.5,3.77,0.09,2.03,0.6,5/18/2010
Assassin's Creed III,PS3,Action-Adv,Ubisoft,8.8,6.5,2.65,0.16,2.61,1.08,10/30/2012
The Elder Scrolls V: Skyrim,PS3,RPG,Bethesda Softworks,9,6.49,2.57,0.25,2.68,0.99,11/11/2011
Minecraft,PS4,Misc,Sony Computer Entertainment,9.4,6.33,1.89,0.35,3.13,0.96,10/7/2014
FIFA 15,PS4,Sports,EA Sports,8.1,6.32,0.83,0.05,4.49,0.94,9/23/2014
Driver,PS,Action,GT Interactive,8.5,6.27,3.11,0.02,2.8,0.33,6/30/1999
Call of Duty: WWII,XOne,Shooter,Activision,,6.23,3.75,,1.91,0.57,11/3/2017
Minecraft,PS3,Misc,Sony Computer Entertainment America,,6.05,2.21,,2.86,0.99,5/16/2014
Red Dead Redemption 2,XOne,Action-Adv,Rockstar Games,,5.77,3.76,,1.47,0.54,10/26/2018
Destiny,PS4,Shooter,Activision,,5.76,2.53,0.16,2.13,0.94,9/9/2014
Tekken 2,PS,Fighting,Namco,9.1,5.74,2.26,1.36,1.89,0.23,8/25/1996
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,8,5.66,3.57,,1.57,0.52,11/6/2007
Cooking Mama,DS,Simulation,Majesco,6.6,5.66,3.09,0.07,1.92,0.58,9/12/2006
Assassin's Creed II,PS3,Action,Ubisoft,9,5.57,2.54,0.21,1.95,0.86,11/17/2009
Assassin's Creed,X360,Action,Ubisoft,8.2,5.55,3.28,0.07,1.64,0.56,11/13/2007
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,9.6,5.54,2.72,0.11,1.89,0.82,10/18/2011
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,9.2,5.5,2.99,0.1,1.9,0.51,10/27/2009
Call of Duty: World at War,PS3,Shooter,Activision,8.4,5.43,2.75,,1.84,0.84,11/10/2008
Minecraft,XOne,Misc,Microsoft Studios,,5.43,3.23,,1.71,0.49,11/18/2014
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,6.9,5.42,2.07,0.24,2.29,0.82,10/29/2001
Final Fantasy XIII,PS3,RPG,Square Enix,8,5.35,1.75,1.87,1.23,0.51,3/9/2010
Assassin's Creed III,X360,Action-Adv,Ubisoft,,5.31,3.13,0.03,1.71,0.45,10/30/2012
Assassin's Creed II,X360,Action,Ubisoft,9.1,5.3,3.14,0.08,1.55,0.52,11/17/2009
Tomb Raider II,PS,Adventure,Eidos Interactive,7.6,5.24,2.3,0.2,2.46,0.28,10/31/1997
Madden NFL 2004,PS2,Sports,EA Sports,9.5,5.23,4.26,0.01,0.26,0.71,8/12/2003
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,8.3,5.22,3.25,0.01,1.49,0.48,11/4/2014
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,5.9,5.13,1.98,0.13,2.23,0.8,11/11/2003
Battlefield 1,XOne,Shooter,Electronic Arts,9.3,5.13,3.37,0.02,1.26,0.48,10/21/2016
Microsoft Flight Simulator,PC,Simulation,Microsoft,7,5.12,3.22,,1.69,0.2,10/31/1996
Guitar Hero II,PS2,Misc,RedOctane,9.2,5.12,3.81,,0.63,0.68,11/7/2006
FIFA 13,X360,Sports,EA Sports,,5.11,1.1,0.03,3.49,0.5,9/25/2012
Mario & Sonic at the Olympic Games,DS,Sports,Sega,7,5.1,1.63,0.44,2.46,0.57,1/22/2008
Fable III,X360,RPG,Microsoft Game Studios,7.8,5.1,3.59,0.05,1.09,0.37,10/26/2010
Resident Evil 5,PS3,Action,Capcom,8.6,5.1,1.96,1.08,1.42,0.64,3/13/2009
FIFA Soccer 11,PS3,Sports,EA Sports,8.7,5.08,0.61,0.06,3.28,1.12,9/28/2010
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,8.4,5.08,1.7,0.16,2.03,1.19,10/31/2006
Final Fantasy XV,PS4,RPG,Square Enix,8.1,5.07,1.81,1.05,1.53,0.68,11/29/2016
Fallout 4,XOne,RPG,Bethesda Softworks,8.4,5.03,2.94,0.02,1.62,0.45,11/10/2015
Tony Hawk's Pro Skater,PS,Sports,Activision,9.6,5.02,3.42,0.02,1.38,0.2,8/31/1999
Warzone 2100,PS,Strategy,Eidos Interactive,,5.01,2.79,,1.89,0.33,5/31/1999
Guitar Hero III: Legends of Rock,PS2,Misc,RedOctane,8.2,4.98,3.49,0.01,0.01,1.48,10/28/2007
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,8.7,4.97,2.32,0.12,1.73,0.8,11/16/2007
Fallout 3,X360,RPG,Bethesda Softworks,9,4.96,3.41,0.09,0.99,0.46,10/28/2008
Madden NFL 06,PS2,Sports,EA Sports,9.1,4.91,3.98,0.01,0.26,0.66,8/8/2005
Call of Duty: Black Ops IIII,XOne,Shooter,Activision,,4.85,3.27,,1.12,0.46,10/12/2018
Assassin's Creed,PS3,Action,Ubisoft,8.2,4.83,1.91,0.09,2.01,0.82,11/13/2007
Crash Bandicoot N. Sane Trilogy,PS4,Platform,Activision,,4.83,1.09,0.07,2.92,0.74,6/30/2017
Call of Duty: Infinite Warfare,XOne,Shooter,Activision,,4.79,2.91,,1.44,0.44,11/4/2016
Crash Team Racing,PS,Racing,Sony Computer Entertainment,9.2,4.79,2.57,0.44,1.57,0.21,9/30/1999
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,7.8,4.77,2.83,,1.49,0.45,11/6/2007
Batman: Arkham City,X360,Action,Warner Bros. Interactive,9.5,4.75,2.99,0.04,1.28,0.44,10/18/2011
Driver 2,PS,Action,Atari,7,4.73,2.36,0.02,2.1,0.25,11/13/2000
The Simpsons: Hit & Run,PS2,Racing,VU Games,7.7,4.7,1.73,,2.19,0.79,9/16/2003
Tony Hawk's Pro Skater 2,PS,Sports,Activision,9.3,4.68,3.05,0.02,1.41,0.2,9/20/2000
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,8.3,4.67,1.94,0.08,1.95,0.7,10/21/2002
Tomb Raider,PS,Action,Eidos Interactive,8.9,4.63,2.29,0.13,1.97,0.24,11/14/1996
Forza Motorsport 4,X360,Racing,Microsoft Studios,9.1,4.6,2.08,0.06,1.98,0.49,10/11/2011
Guitar Hero III: Legends of Rock,Wii,Misc,RedOctane,8.6,4.6,3.04,0,1.12,0.44,10/28/2007
FIFA 15,PS3,Sports,EA Sports,6.9,4.56,0.59,0.04,3.25,0.68,9/23/2014
Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,6.8,4.54,1.87,0.22,1.97,0.48,10/13/2009
Overwatch,PS4,Shooter,Blizzard Entertainment,8.8,4.54,1.84,0.17,1.8,0.73,5/24/2016
Guitar Hero III: Legends of Rock,X360,Misc,RedOctane,8.7,4.53,3.19,0.01,0.91,0.42,10/28/2007
Star Wars Battlefront II (2017),PS4,Shooter,Electronic Arts,,4.53,1.7,0.12,1.99,0.73,11/17/2017
Madden NFL 2005,PS2,Sports,EA Sports,9.5,4.53,4.18,0.01,0.26,0.08,8/9/2004
Spider-Man: The Movie,PS2,Action,Activision,8.2,4.48,2.71,0.03,1.51,0.23,4/15/2002
The Elder Scrolls IV: Oblivion,X360,RPG,Take-Two Interactive,9.2,4.47,2.89,0.13,1.03,0.41,7/7/2009
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,9.1,4.41,2.66,0.01,1.29,0.46,10/28/2001
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami,8.8,4.39,0.1,1.05,2.39,0.86,2/6/2007
Tom Clancy's The Division,PS4,Shooter,Ubisoft,,4.37,1.49,0.16,2.04,0.69,3/8/2016
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,8.6,4.37,2.03,0.08,1.79,0.47,11/15/2005
Michael Jackson: The Experience,Wii,Misc,Ubisoft,5.6,4.37,2.64,0.01,1.33,0.39,11/23/2010
Tom Clancy's Rainbow Six: Siege,PS4,Shooter,Ubisoft,,4.36,1.29,0.36,2.06,0.64,12/1/2015
Call of Duty: Advanced Warfare,X360,Shooter,Activision,9.1,4.34,2.81,0,1.13,0.41,11/4/2014
Watch Dogs,PS4,Action-Adv,Ubisoft,,4.32,1.4,0.11,2.13,0.68,5/27/2014
Asteroids,2600,Shooter,Atari,,4.31,4,,0.26,0.05,1/1/1981
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,9,4.28,2.26,0.07,1.33,0.63,8/25/2009
Call of Duty: Advanced Warfare,PS3,Shooter,Activision,9.1,4.27,1.59,0.2,1.81,0.67,11/4/2014
Namco Museum,GBA,Misc,Namco,,4.24,3,0.05,1.11,0.07,6/10/2001
Assassin's Creed: Revelations,PS3,Action,Ubisoft,8.8,4.23,1.41,0.1,2.03,0.69,11/15/2011
Assassin's Creed: Revelations,X360,Action,Ubisoft,7.9,4.22,2.28,0.04,1.47,0.44,11/15/2011
FIFA Soccer 06,PS2,Sports,EA Sports,8.4,4.21,0.78,0.04,2.55,0.84,10/4/2005
Street Fighter IV,PS3,Fighting,Capcom,9.3,4.19,2.04,0.59,1.05,0.52,2/17/2009
FIFA Soccer 12,X360,Sports,EA Sports,9.2,4.18,0.85,0.02,2.79,0.52,9/27/2011
Call of Duty: Ghosts,PS4,Shooter,Activision,7.5,4.17,1.79,0.05,1.64,0.69,11/15/2013
Teenage Mutant Ninja Turtles,NES,Platform,Ultra Games,5.9,4.17,3.38,0.31,0.44,0.04,6/1/1989
Frogger,PS,Action,Hasbro Interactive,,4.16,3.79,,0.27,0.11,9/30/1997
FIFA 14,X360,Sports,EA Sports,,4.15,0.94,0.01,2.92,0.29,9/24/2013
Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts,6.9,4.15,2.49,0.02,1.26,0.38,11/17/2015
Madden NFL 2003,PS2,Sports,EA Sports,9.4,4.14,3.36,0.01,0.21,0.56,8/12/2002
Assassin's Creed: Unity,PS4,Action,Ubisoft,,4.14,1.25,0.09,2.16,0.65,11/11/2014
Destiny 2,PS4,Shooter,Activision,,4.14,1.92,0.1,1.44,0.69,9/6/2017
FIFA 07 Soccer,PS2,Sports,EA Sports,8.4,4.11,0.71,0.03,2.48,0.89,10/3/2006
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,8.1,4.11,1.65,0.11,1.68,0.66,6/23/2015
The Sims 4,PC,Simulation,Electronic Arts,7,4.1,1.2,,2.6,0.3,9/2/2014
Fallout: New Vegas,X360,RPG,Bethesda Softworks,8.2,4.08,2.67,0.04,1.03,0.34,10/19/2010
Carnival Games,Wii,Misc,Global Star Software,4.2,4.06,2.12,0.05,1.47,0.42,8/28/2007
Far Cry 4,PS4,Shooter,Ubisoft,8.4,4.06,1.18,0.11,2.14,0.63,11/18/2014
Assassin's Creed Origins,PS4,Action,Ubisoft,,4.06,1.22,0.11,2.11,0.63,10/27/2017
World Soccer Winning Eleven 9,PS2,Sports,Konami,8.9,4.06,0.12,0.9,2.26,0.77,2/7/2006
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,9.1,4.05,2.35,0.03,1.27,0.41,5/29/2007
Namco Museum Vol.3,PS,Misc,Namco,,4.05,2.28,0.16,1.55,0.06,1/31/1997
Tekken Tag Tournament,PS2,Fighting,Namco,8.7,4.05,1.68,0.51,1.51,0.35,10/25/2000
Fallout 3,PS3,RPG,Bethesda Softworks,8.8,4,2.18,0.07,1.15,0.61,10/28/2008
The Elder Scrolls V: Skyrim,PC,RPG,Bethesda Softworks,9.2,3.99,1.18,,2.25,0.56,11/11/2011
NBA 2K16,PS4,Sports,2K Sports,8.7,3.98,2.56,0.05,0.66,0.71,9/29/2015
Namco Museum: 50th Anniversary,PS2,Misc,Namco,,3.98,2.08,,1.35,0.54,8/30/2005
Far Cry 5,PS4,Action,Ubisoft,7.9,3.95,1.44,0.15,1.73,0.62,3/27/2018
Battlefield 4,PS4,Shooter,Electronic Arts,8.3,3.94,1.4,0.19,1.74,0.62,11/15/2013
Assassin's Creed IV: Black Flag,PS3,Action-Adv,Ubisoft,8.7,3.94,1.34,0.13,1.86,0.62,10/29/2013
Tony Hawk's Underground,PS2,Sports,Activision,8.7,3.9,2.29,0.01,1.17,0.42,10/27/2003
Just Dance 2014,Wii,Music,Ubisoft,7.4,3.89,1.91,,1.66,0.33,10/8/2013
Sports Champions,PS3,Sports,Sony Computer Entertainment,7.6,3.88,2.15,0.1,1.13,0.5,9/17/2010
World Soccer Winning Eleven 8 International,PS2,Sports,Konami,9.3,3.85,0.16,1.12,1.89,0.68,2/1/2005
Namco Museum Vol.1,PS,Misc,Namco,,3.84,2.12,0.22,1.44,0.06,7/31/1996
LEGO Indiana Jones: The Original Adventures,X360,Adventure,LucasArts,7.5,3.76,2.4,,1.01,0.36,6/3/2008
The Sims: Unleashed,PC,Simulation,Electronic Arts,7.3,3.76,2.03,,1.56,0.17,9/23/2002
Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment,8.5,3.75,1.4,0.1,1.4,0.86,2/13/2007
FIFA 17,XOne,Sports,Electronic Arts,8.8,3.71,1.04,,2.4,0.27,9/27/2016
FIFA Soccer 2005,PS2,Sports,EA Sports,8.4,3.7,0.58,0.04,2.48,0.59,10/12/2004
Tony Hawk's Pro Skater 4,PS2,Sports,Activision,9.6,3.67,2.13,0.01,1.18,0.35,10/23/2002
MySims,DS,Simulation,Electronic Arts,6.7,3.66,1.58,0.08,1.6,0.4,9/18/2007
Midnight Club 3: DUB Edition,PSP,Racing,Rockstar Games,7.2,3.66,1.65,,1.22,0.79,6/27/2005
SOCOM: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,8,3.65,2.53,0.06,0.81,0.24,8/27/2002
Battlefield 4,PS3,Shooter,Electronic Arts,8.7,3.64,1.31,0.27,1.5,0.55,10/29/2013
Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment,9,3.64,2.08,0.15,1.09,0.33,12/4/2001
Pro Evolution Soccer 2008,PS2,Sports,Konami,8.2,3.63,0.05,0.64,0,2.93,3/11/2008
FIFA Soccer 10,PS3,Sports,EA Sports,9,3.63,0.6,0.05,2.46,0.52,10/20/2009
Guitar Hero: World Tour,Wii,Misc,Activision,8.4,3.62,2.32,,0.96,0.34,10/26/2008
The Simpsons: Road Rage,PS2,Racing,Electronic Arts,6.1,3.61,2.02,,1.17,0.42,11/24/2001
Star Wars Battlefront,PS2,Shooter,LucasArts,8.1,3.61,1.93,0.03,1.22,0.44,9/20/2004
Doom II,PC,Shooter,GT Interactive,9.3,3.61,2.05,,1.4,0.16,9/30/1994
Assassin's Creed Syndicate,PS4,Action,Ubisoft,8.6,3.6,0.9,0.08,2.06,0.55,10/23/2015
Star Wars Battlefront II,PS2,Shooter,LucasArts,8.5,3.59,2.18,0.03,1.02,0.37,11/1/2005
Assassin's Creed: Unity,XOne,Action,Ubisoft,,3.58,2.34,0,0.9,0.34,11/11/2014
WWF SmackDown!,PS,Fighting,THQ,,3.58,2.01,0.06,1.35,0.16,3/1/2000
Cooking Mama 2: Dinner With Friends,DS,Simulation,Majesco,6.9,3.58,1.6,0.1,1.49,0.39,11/13/2007
The Getaway,PS2,Action,Sony Computer Entertainment,7.7,3.54,1.23,0.05,1.77,0.49,1/19/2003
Tomb Raider III: Adventures of Lara Croft,PS,Adventure,Eidos Interactive,8.2,3.54,1.66,0.12,1.58,0.18,11/21/1998
Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,8.3,3.54,1.56,0.07,1.4,0.5,6/6/2006
Battlefield 4,X360,Shooter,Electronic Arts,8.7,3.54,2.16,0.02,1.05,0.32,10/29/2013
Batman: Arkham Asylum,X360,Action,Eidos Interactive,9.1,3.54,2.24,0.02,0.95,0.33,8/25/2009
Resident Evil 5,X360,Action,Capcom,8.6,3.53,2.13,0.12,0.93,0.34,3/13/2009
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,9.1,3.53,2.87,0.03,0.39,0.25,11/16/2010
LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,7.9,3.53,1.98,0.01,1.14,0.41,4/2/2005
James Bond 007: Agent Under Fire,PS2,Shooter,Electronic Arts,,3.53,1.9,0.1,1.13,0.41,11/13/2001
Rugrats in Paris: The Movie,PS,Action,THQ,,3.52,1.96,,1.33,0.23,10/29/2000
FIFA Soccer 11,X360,Sports,EA Sports,8.7,3.52,0.71,0.02,2.39,0.4,9/28/2010
NBA 2K17,PS4,Sports,2K Sports,9,3.52,2.28,0.03,0.59,0.63,9/16/2016
Mortal Kombat X,PS4,Fighting,Warner Bros. Interactive Entertainment,,3.49,1.94,,0.94,0.61,4/14/2015
FIFA Soccer 2004,PS2,Sports,EA Sports,8,3.49,0.59,0.04,2.36,0.51,11/4/2003
Borderlands,X360,Shooter,2K Games,8.3,3.48,2.43,0.03,0.72,0.3,10/20/2009
Battlefield: Bad Company 2,X360,Shooter,Electronic Arts,9,3.48,2.11,0.04,1.01,0.33,3/2/2010
Mario & Sonic at the Olympic Winter Games,DS,Sports,Sega,7.6,3.47,1.21,0.27,1.63,0.37,10/13/2009
Guitar Hero: On Tour,DS,Misc,Activision,7.1,3.46,2.1,0.01,1.01,0.35,6/22/2008
Tekken 4,PS2,Fighting,Namco,7.9,3.44,1.55,0.33,1.27,0.29,9/23/2002
LEGO Batman: The Videogame,X360,Adventure,Warner Bros. Interactive,7.5,3.44,2.07,,1.04,0.34,9/23/2008
Halo: The Master Chief Collection,XOne,Shooter,Microsoft Studios,8.8,3.44,2.06,0.03,1.04,0.31,11/11/2014
LittleBigPlanet 2,PS3,Platform,Sony Computer Entertainment,9.1,3.43,1.83,0.06,1.07,0.47,1/18/2011
FIFA 14,PS4,Sports,EA Sports,,3.43,0.62,0.12,2.18,0.51,11/15/2013
Grand Theft Auto 2,PS,Action,Rockstar Games,6.9,3.42,1.13,,2.07,0.22,10/25/1999
Destiny,XOne,Shooter,Activision,8.3,3.41,2.17,,0.92,0.32,9/9/2014
Spider-Man 2,PS2,Action,Activision,7.9,3.41,1.75,0.02,1.2,0.43,6/28/2004
FIFA Soccer 2003,PS2,Sports,EA Sports,,3.4,0.46,0.05,2.28,0.61,11/14/2002
Crash Bash,PS,Misc,Sony Computer Entertainment,6.8,3.39,1.56,0.19,1.47,0.17,11/6/2000
Gears of War 4,XOne,Shooter,Microsoft Studios,,3.38,2.17,,0.9,0.32,10/11/2016
The Elder Scrolls V: Skyrim Special Edition,PS4,RPG,Bethesda Softworks,8.3,3.36,1.24,0.08,1.5,0.54,10/28/2016
Watch Dogs 2,PS4,Action,Ubisoft,,3.36,0.98,0.12,1.74,0.52,11/15/2016
WWF War Zone,PS,Fighting,Acclaim Entertainment,,3.36,2.47,,0.76,0.13,7/14/1998
Assassin's Creed IV: Black Flag,X360,Action-Adv,Ubisoft,8.5,3.34,1.9,0.01,1.14,0.3,10/29/2013
NBA 2K18,PS4,Sports,2K Sports,8.1,3.34,2.13,0.04,0.57,0.59,9/19/2017
James Bond 007: Nightfire,PS2,Shooter,Electronic Arts,,3.33,1.45,0.12,1.29,0.46,11/18/2002
Star Wars Episode III: Revenge of the Sith,PS2,Action,LucasArts,,3.32,1.47,0.03,1.39,0.43,5/4/2005
Max Payne,PS2,Shooter,Rockstar Games,8.1,3.31,1.99,0.05,1.05,0.22,12/6/2001
Madden NFL 16,PS4,Sports,EA Sports,8.2,3.3,2.39,,0.31,0.61,8/25/2015
The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts,8.4,3.28,1.5,0.05,1.28,0.46,11/5/2003
Madden NFL 17,PS4,Sports,EA Sports,8.5,3.28,2.3,,0.37,0.6,8/23/2016
Gran Turismo (PSP),PSP,Racing,Sony Computer Entertainment,,3.27,0.51,0.31,1.59,0.86,10/1/2009
Far Cry 3,PS3,Shooter,Ubisoft,,3.27,0.88,0.1,1.79,0.5,12/4/2012
True Crime: Streets of LA,PS2,Action,Activision,,3.27,1.89,0.02,1.05,0.31,11/3/2003
FIFA 16,XOne,Sports,EA Sports,8.5,3.25,0.92,,2.1,0.24,9/22/2015
L.A. Noire,PS3,Adventure,Rockstar Games,9.1,3.21,1.29,0.12,1.31,0.49,11/15/2011
007: Tomorrow Never Dies,PS,Shooter,Electronic Arts,6.2,3.21,1.72,,1.33,0.16,11/16/1999
WWF SmackDown! 2: Know Your Role,PS,Fighting,THQ,8.7,3.2,1.76,0.07,1.21,0.16,11/21/2000
Assassin's Creed IV: Black Flag,PS4,Action-Adv,Ubisoft,8.3,3.19,1.07,0.06,1.55,0.51,11/15/2013
Enter the Matrix,PS2,Action,Atari,,3.18,1.78,0.09,1.12,0.19,5/14/2003
Assassin's Creed Odyssey,PS4,Action-Adv,Ubisoft,9.5,3.18,1.18,0.09,1.4,0.51,10/5/2018
Fallout: New Vegas,PS3,RPG,Bethesda Softworks,8.2,3.17,1.54,0.1,1.04,0.49,10/19/2010
FIFA Soccer 08,PS2,Sports,EA Sports,,3.14,0.68,,0,2.46,10/9/2007
Club Penguin: Elite Penguin Force,DS,Adventure,Disney Interactive Studios,7,3.14,1.87,,0.97,0.3,11/25/2008
FIFA 18,XOne,Sports,EA Sports,8,3.14,0.98,,1.92,0.23,9/29/2017
Spider-Man,PS,Action,Activision,,3.13,1.7,0.02,1.25,0.16,8/30/2000
The Elder Scrolls IV: Oblivion,PS3,RPG,Bethesda Softworks,9.3,3.12,1.69,0.14,0.86,0.44,3/20/2007
Resident Evil 6,PS3,Action,Capcom,,3.12,0.88,0.88,0.97,0.39,10/2/2012
Need for Speed III: Hot Pursuit,PS,Racing,Electronic Arts,,3.12,2.14,,0.86,0.13,3/25/1998
Tom Clancy's Ghost Recon Wildlands,PS4,Shooter,Ubisoft,7,3.12,1.07,0.22,1.35,0.47,3/7/2017
Titanfall,XOne,Shooter,Electronic Arts,,3.11,1.88,0.04,0.91,0.28,3/11/2014
NBA 2K13,X360,Sports,2K Sports,8.6,3.11,2.62,0.01,0.21,0.28,10/2/2012
Mass Effect 2,X360,RPG,Electronic Arts,9.5,3.1,1.99,0.03,0.81,0.27,1/26/2010
LEGO Batman: The Videogame,Wii,Adventure,Warner Bros. Interactive,7.3,3.08,1.8,,0.98,0.29,9/23/2008
Madden NFL 2002,PS2,Sports,EA Sports,,3.08,2.5,0.01,0.16,0.42,8/19/2001
Saints Row 2,X360,Action,THQ,7.9,3.07,1.98,0.02,0.79,0.28,10/14/2008
Call of Duty: Ghosts,XOne,Shooter,Activision,7.5,3.07,1.92,,0.86,0.28,11/22/2013
The Sims: Vacation,PC,Simulation,Electronic Arts,,3.07,1.72,,1.21,0.14,3/25/2002
Borderlands 2,X360,Shooter,2K Games,,3.06,1.89,0.04,0.88,0.26,1/15/2013
LEGO Batman: The Videogame,DS,Adventure,Warner Bros. Interactive,7.8,3.06,1.75,,1.02,0.29,9/23/2008
Kung Fu Panda,X360,Platform,Activision,7.5,3.05,1.91,,0.84,0.29,6/3/2008
